rank,repo,pr_number,pr_title,pr_author,total_comments,reviewer_count,state,pr_url
1,AiMarketingtool-pro-fbaf2fad,56,"Update dependencies, enhance security, and improve CI workflow",Lokeninfinitypoint,56,4,CLOSED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/56
2,AiMarketingtool-pro-fbaf2fad,41,all pull,Lokeninfinitypoint,43,2,CLOSED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/41
3,AiMarketingtool-pro-fbaf2fad,63,Ai findings autofix/scripts total rich overhaul.sh,Lokeninfinitypoint,35,3,CLOSED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/63
4,AiMarketingtool-pro-fbaf2fad,62,Ai findings autofix/plugins with kotlin ksp fix.js,Lokeninfinitypoint,35,3,CLOSED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/62
5,AiMarketingtool-pro-fbaf2fad,65,Mobile overhaul 2026 04 14,Lokeninfinitypoint,34,3,CLOSED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/65
6,AiMarketingtool-pro-fbaf2fad,13,Merge pull request #12 from Marketingtool-pro/Lokeninfinitypoint-patch-1,Lokeninfinitypoint,34,2,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/13
7,AiMarketingtool-pro-fbaf2fad,64,Lokeninfinitypoint patch 1,Lokeninfinitypoint,31,3,CLOSED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/64
8,AiMarketingtool-pro-fbaf2fad,66,Add claude GitHub actions 1776199121290,Lokeninfinitypoint,29,3,CLOSED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/66
9,AiMarketingtool-pro-fbaf2fad,70,"Enhance code quality, security, and fix vulnerabilities",Lokeninfinitypoint,28,3,CLOSED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/70
10,AiMarketingtool-pro-fbaf2fad,67,"Enhance code quality, security, and app functionality for v1.3.2",Lokeninfinitypoint,25,2,CLOSED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/67
11,AiMarketingtool-pro-fbaf2fad,68,Copilot/set up copilot instructions,Lokeninfinitypoint,25,3,CLOSED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/68
12,AiMarketingtool-pro-fbaf2fad,42,"ci: fix all failing PR #41 checks (CodeQL, Pages, Gradle) + auto-submit EAS",Lokeninfinitypoint,24,3,CLOSED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/42
13,AiMarketingtool-pro-fbaf2fad,113,fix(ios): ship-ready IAP build — break the 2.1(b) rejection loop,Lokeninfinitypoint,20,3,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/113
14,AiMarketingtool-pro-fbaf2fad,120,Fix IAP build issues and improve submission process for iOS,Lokeninfinitypoint,20,2,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/120
15,AiMarketingtool-pro-fbaf2fad,16,Mobile overhaul 2026 04 14,Lokeninfinitypoint,19,2,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/16
16,AiMarketingtool-pro-fbaf2fad,35,Copilot/set up copilot instructions,Lokeninfinitypoint,14,2,CLOSED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/35
17,AiMarketingtool-pro-fbaf2fad,39,fix(appwrite): phone-session 29% OTP failure (Unexpected token o),Lokeninfinitypoint,14,3,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/39
18,AiMarketingtool-pro-fbaf2fad,69,Copilot/check all tasks status,Lokeninfinitypoint,12,3,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/69
19,AiMarketingtool-pro-fbaf2fad,38,fix(android): sync google-services.json + drop useless RN patch,Lokeninfinitypoint,10,2,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/38
20,AiMarketingtool-pro-fbaf2fad,91,"Enhance code quality, security, and fix build issues",Lokeninfinitypoint,10,2,CLOSED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/91
21,AiMarketingtool-pro-fbaf2fad,14,Add Claude Code GitHub Workflow,Lokeninfinitypoint,8,2,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/14
22,AiMarketingtool-pro-fbaf2fad,73,Add Firebase Performance Monitoring and project documentation files,Lokeninfinitypoint,8,2,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/73
23,AiMarketingtool-pro-fbaf2fad,128,"Add Gemini CI workflows, IAP entitlement unlock, iap-verify Appwrite function, and config updates",copilot-swe-agent,7,2,OPEN,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/128
24,AiMarketingtool-pro-fbaf2fad,72,"Enhance code quality, security, and build configurations",Lokeninfinitypoint,7,2,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/72
25,AiMarketingtool-pro-fbaf2fad,149,Copilot/align tier names and planid,Lokeninfinitypoint,6,2,CLOSED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/149
26,AiMarketingtool-pro-fbaf2fad,92,Add Claude Code GitHub Workflow,Lokeninfinitypoint,5,1,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/92
27,AiMarketingtool-pro-fbaf2fad,93,Add claude GitHub actions 1780371096658,Lokeninfinitypoint,5,2,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/93
28,AiMarketingtool-pro-fbaf2fad,96,"ci: remove dead Maven + duplicate publish workflows, fix Master triggers",Lokeninfinitypoint,5,2,CLOSED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/96
29,AiMarketingtool-pro-fbaf2fad,19,Potential fixes for 2 code quality findings,Lokeninfinitypoint,5,3,CLOSED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/19
30,AiMarketingtool-pro-fbaf2fad,31,chore(deps): bump @react-navigation/bottom-tabs from 7.10.1 to 7.15.11,dependabot,4,1,MERGED,https://github.com/Marketingtool-pro/AiMarketingtool-pro-fbaf2fad/pull/31
